usp_category,usp_class,usp_drug,drug_name,drug_id
Analgesics,Nonsteroidal Anti-inflammatory Drugs,celecoxib,celecoxib,D00567
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac,D07816
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac potassium,D00903
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac sodium,D00904
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac diethylamine,D07817
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac hydroxyethylpyrrolidine,D07818
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diclofenac,diclofenac calcium,D07819
Analgesics,Nonsteroidal Anti-inflammatory Drugs,diflunisal,diflunisal,D00130
Analgesics,Nonsteroidal Anti-inflammatory Drugs,etodolac,etodolac,D00315
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,fenoprofen,D02350
Analgesics,Nonsteroidal Anti-inflammatory Drugs,fenoprofen,fenoprofen calcium,D00968
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,flurbiprofen,D00330
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,flurbiprofen axetil,D01475
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,flurbiprofen sodium,D02290
Analgesics,Nonsteroidal Anti-inflammatory Drugs,flurbiprofen,esflurbiprofen,D10254
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen,D00126
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen piconol,D01122
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen aluminum,D04490
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen lysine,D06606
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen arginine salt,D08058
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen sodium,D08059
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ibuprofen,ibuprofen sodium,D09760
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,indomethacin,D00141
Analgesics,Nonsteroidal Anti-inflammatory Drugs,indomethacin,indomethacin sodium,D02110
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,ketoprofen,D00132
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,ketoprofen lysine,D08102
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,ketoprofen sodium,D08103
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,ketorolac,D08104
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,ketorolac tromethamine,D00813
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,meclofenamic acid,D02341
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,meclofenamate sodium,D00169
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,meclofenamate sodium,D08162
Analgesics,Nonsteroidal Anti-inflammatory Drugs,mefenamic acid,mefenamic acid,D00151
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meloxicam,meloxicam,D00969
Analgesics,Nonsteroidal Anti-inflammatory Drugs,nabumetone,nabumetone,D00425
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,naproxen,D00118
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,naproxen sodium,D00970
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,naproxen etemesil,D10017
Analgesics,Nonsteroidal Anti-inflammatory Drugs,oxaprozin,oxaprozin,D00463
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam,D00127
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam betadex,D05511
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam cinnamate,D05512
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam olamine,D05513
Analgesics,Nonsteroidal Anti-inflammatory Drugs,sulindac,sulindac,D00120
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,tolmetin,D02355
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,tolmetin sodium,D00158
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,hydromorphone,D08047
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,hydromorphone hydrochloride,D00839
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,fentanyl,D00320
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,fentanyl citrate,D01399
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,levorphanol,D08123
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,levorphanol tartrate,D00841
Analgesics,"Opioid Analgesics, Long-acting",methadone,methadone,D08195
Analgesics,"Opioid Analgesics, Long-acting",methadone,methadone hydrochloride,D02102
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine,D08233
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine sulfate,D00842
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine hydrochloride hydrate,D02271
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine tartrate,D08234
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone,D05312
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone hydrochloride,D00847
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,compound oxycodone,D02175
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone terephthalate,D03783
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone hydrochloride hydrate,D05462
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,oxymorphone,D08323
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,oxymorphone hydrochloride,D00844
Analgesics,"Opioid Analgesics, Long-acting",tramadol,tramadol,D08623
Analgesics,"Opioid Analgesics, Long-acting",tramadol,tramadol hydrochloride,D01355
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,butorphanol,D03197
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,butorphanol tartrate,D00837
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine,D00195
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine phosphate,D02101
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine polistirex,D03579
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine sulfate,D03580
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine hydrochloride,D07740
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,fentanyl,D00320
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,fentanyl citrate,D01399
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,hydromorphone,D08047
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,hydromorphone hydrochloride,D00839
Analgesics,"Opioid Analgesics, Short-acting",meperidine,pethidine,D08343
Analgesics,"Opioid Analgesics, Short-acting",meperidine,meperidine hydrochloride,D01383
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,nalbuphine,D08246
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,nalbuphine hydrochloride,D00843
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone,D05312
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone hydrochloride,D00847
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,compound oxycodone,D02175
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone terephthalate,D03783
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone hydrochloride hydrate,D05462
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,oxymorphone,D08323
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,oxymorphone hydrochloride,D00844
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,pentazocine,D00498
