Date(UTC),eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_blocks,eth_blocksize,eth_blocktime
7/30/2015,0,8893,9205,72049306.59,0,23.7569,6912,644,4.46
7/31/2015,0,0,9361,72085498.31,0,48.1584,6863,582,12.58
8/1/2015,0,0,9476,72113204.25,0,55.2709,5293,575,16.34
8/2/2015,0,0,9563,72141427.69,0,64.1779,5358,581,16.12
8/3/2015,0,0,9639,72169404.41,0,69.8559,5280,587,16.37
8/4/2015,0,0,9696,72197882.84,0,76.6115,5368,587,16.1
8/5/2015,0,0,9749,72225411.44,0,81.9449,5235,579,16.51
8/6/2015,0,0,9790,72252486.91,0,82.9366,5116,584,16.89
8/7/2015,3,2050,10314,72279924.56,216.8397737,89.6063,5189,633,16.65
8/8/2015,1.2,2881,10730,72307868,86.7694416,97.6083,5256,668,16.44
8/9/2015,1.2,1329,11004,72335046.28,86.80205554,102.5407,5123,618,16.86
8/10/2015,0,2037,11679,72362863.63,0,113.1109,5255,631,16.44
8/11/2015,0.99,4963,13576,72390891.44,71.66698252,126.6631,5280,692,16.37
8/12/2015,1.29,2036,13913,72418262.38,93.41955846,132.7661,5124,653,16.86
8/13/2015,1.88,2842,14459,72446530.5,136.1994773,144.8995,5286,666,16.34
8/14/2015,1.79,3174,15024,72477637.22,129.7349706,183.5527,5809,660,14.88
8/15/2015,1.79,2284,15407,72506149.88,129.7860083,213.9622,5382,638,16.04
8/17/2015,1.3,2512,15693,72534268.78,94.29454942,245.4865,5347,635,16.16
8/16/2015,1.37,2440,15984,72561363.31,99.40906774,220.8548,5132,641,16.84
8/18/2015,1.36,2494,16268,72587526.13,98.71903553,253.7123,4948,648,17.46
8/19/2015,1.24,3246,16553,72614808.16,90.04236211,269.2527,5192,653,16.64
8/20/2015,1.52,2303,16773,72635865.19,110.4065151,252.3917,4024,650,21.47
8/21/2015,1.44,3919,17070,72662556.13,104.6340808,263.4014,5088,668,16.98
8/22/2015,1.4,3579,17313,72690106.59,101.7661492,298.2545,5271,648,16.39
8/23/2015,1.35,4190,17662,72716362.22,98.167089,303.082,5013,681,17.24
8/24/2015,1.24,4432,17839,72743695.5,90.20218242,314.6624,5184,673,16.67
8/25/2015,1.27,4487,18089,72770431.59,92.41844812,309.2154,5097,680,16.95
8/26/2015,1.18,4156,18298,72796569.56,85.89995208,327.8673,5003,669,17.27
8/27/2015,1.14,5590,18508,72821102.38,83.01605671,327.6196,4708,708,18.35
8/28/2015,1.3,4758,18687,72845327.53,94.69892579,340.1254,4653,691,18.57
8/29/2015,1.18,4139,18815,72867852.53,85.98406599,339.3919,4329,682,19.93
8/30/2015,1.32,4572,19017,72889306.13,96.21388409,332.4474,4155,689,20.77
8/31/2015,1.31,5196,19168,72910599.56,95.51288543,351.2291,4122,731,20.87
9/1/2015,1.36,5153,19349,72930942.53,99.18608184,354.1181,3938,741,21.86
9/2/2015,1.14,5195,19500,72949329.88,83.16223606,349.6263,3577,766,24.12
9/3/2015,1.23,4777,19646,72966710.81,89.7490543,331.5756,3383,755,25.53
9/4/2015,1.35,5642,19791,72989792.69,98.53622013,340.3879,4443,762,19.3
9/5/2015,1.37,5519,19955,73015421.75,100.0311278,361.5994,4921,753,17.48
9/6/2015,1.34,5521,20081,73041590.03,97.87573064,371.3126,4978,733,17.19
9/7/2015,1.28,5702,20308,73067050.5,93.52582464,360.9598,4834,753,17.77
9/8/2015,1.26,5622,20433,73092943,92.09710818,352.7229,4923,759,17.46
9/9/2015,1.21,5604,20609,73119370.66,88.47443849,368.0392,5035,765,17.12
9/10/2015,1.19,5341,20711,73145814.88,87.0435197,371.1206,5003,730,17.18
9/11/2015,0.92,6460,20897,73173054.72,67.31921034,397.2576,5141,736,16.71
9/12/2015,1.15,5596,21043,73199455.81,84.17937418,405.6008,5026,761,17.11
9/13/2015,0.89,6057,21252,73225627.22,65.17080822,412.3321,4971,764,17.25
9/14/2015,0.96,5572,21409,73251215.34,70.32116673,380.4038,4851,771,17.61
9/15/2015,0.95,5409,21581,73276830.66,69.61298912,366.6357,4842,755,17.75
9/16/2015,0.94,5872,21719,73303148.78,68.90495985,362.0796,4956,739,17.32
9/17/2015,0.88,5368,21826,73328584.41,64.52915428,342.0493,4808,753,17.91
9/18/2015,0.85,5802,21999,73354486.13,62.35131321,326.1315,4889,785,17.57
9/19/2015,0.89,5205,22106,73381665.81,65.30968257,332.9998,5078,735,16.9
9/20/2015,0.89,6402,22230,73409648.47,65.33458714,390.7766,5305,766,16.04
9/21/2015,0.94,6305,22363,73436300.34,69.03012232,393.8171,5075,779,16.87
9/22/2015,0.81,6804,22496,73462670.66,59.50476323,395.4227,5051,807,17
9/23/2015,0.91,7404,22648,73489750.97,66.87567338,422.5629,5165,784,16.58
9/24/2015,0.8,6224,22783,73516136.75,58.8129094,417.591,5021,782,17.1
9/25/2015,0.68,5851,22902,73543140.19,50.00933533,421.4033,5126,767,16.73
9/26/2015,0.77,5907,22964,73569050.5,56.64816889,423.4245,4930,765,17.32
9/27/2015,0.7,5760,23045,73594061.59,51.51584312,412.8378,4773,725,17.92
9/28/2015,0.6,6123,23160,73618775.81,44.17126549,379.0354,4738,755,18.02
9/29/2015,0.68,5738,23283,73643144.25,50.07733809,330.5963,4640,762,18.51
9/30/2015,0.71,5870,23385,73668238,52.30444898,315.1845,4757,742,18.04
10/1/2015,0.65,6421,23482,73695660.03,47.90217902,347.9262,5210,741,16.45
10/2/2015,0.66,6063,23563,73722573.16,48.65689828,364.9391,5143,773,16.62
10/3/2015,0.68,6112,23689,73749026.91,50.1493383,378.3587,5077,769,16.84
10/4/2015,0.61,6624,23777,73774507.06,45.00244931,360.3209,4886,776,17.47
10/5/2015,0.61,6279,23909,73800643.94,45.0183928,373.8427,5009,771,17.05
10/6/2015,0.65,6458,24005,73825680.5,47.98669233,361.6866,4806,781,17.67
